Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002672;;75020;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;Travaux en demi chaussée et végétalisation du quartier.;rue Paganini- rue Schubert;;2024-10-01;2025-01-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.4120741346078964, 48.851224938794296], [2.4125394918606045, 48.851092959643864], [2.4125936262146195, 48.85098312786101], [2.412115581002067, 48.85115801044791], [2.4120741346078964, 48.851224938794296]]], ""type"": ""Polygon""}";48.85110815130987, 2.4123515279675107
CP002679;;75001;11;2;FRAICHEUR DE PARIS;ENTRETIEN_RESEAU;;rue Montpensier- rue Richelieu;Travaux en 3 phase en demi-chaussée coté pair et impair avec hommes aide a la manœuvre pour les entrées et sorties du conseil constitutionnel.;2025-01-06;2025-01-31;RESTREINTE;;1;1;;"{""coordinates"": [[[[2.3359407638370593, 48.86382552275726], [2.3358313404097704, 48.863639170733066], [2.3357701407187688, 48.863650914709865], [2.3359185726426714, 48.86390012814947], [2.3362369545414077, 48.86382804901281], [2.3363455199096212, 48.8640119217633], [2.3364107984619586, 48.86399952829869], [2.336280721604027, 48.86374706183901], [2.3359407638370593, 48.86382552275726]], [[2.3359398710871004, 48.86382572915018], [2.3359407638370593, 48.86382552275726], [2.3359408879046897, 48.86382573479218], [2.3359398710871004, 48.86382572915018]]]], ""type"": ""MultiPolygon""}";48.86382733078258, 2.336104149988749
CP002690;;75014;12;1;S.T.V;REAMENAGEMENT_SECTEUR;Végétalisation de la rue Delambre.;rue Delambre;Depuis la place Stephane Hessel jusqu'au square Delambre.;2024-11-04;2025-03-03;BARRAGE_TOTAL;Fermeture du tronçon dans sa totalité le temps des travaux. Mise en impasse de la rue Delambre depuis le bld Raspail jusqu'au square Delambre.;1;1;;"{""coordinates"": [[[[2.3250780245367246, 48.84133068343667], [2.3274458102644395, 48.841652321584434], [2.327462817575786, 48.84158579579296], [2.327304442399685, 48.84156342215167], [2.327321441828033, 48.841507125715665], [2.327195611560103, 48.84148493582895], [2.327178612002978, 48.84154123224823], [2.325111368759565, 48.84126910849139], [2.3250780245367246, 48.84133068343667]]], [[[2.3274458102644395, 48.841652321584434], [2.327445679667156, 48.84165283348856], [2.3274497479282386, 48.84165285636089], [2.3274458102644395, 48.841652321584434]]]], ""type"": ""MultiPolygon""}";48.84146332644451, 2.326334819553636
CP002698;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;;81 - 83 boulevard de Strasbourg;Report du terminus RATP.;2024-11-17;2025-11-14;RESTREINTE;;;1;;"{""coordinates"": [[[2.3576288525738427, 48.87571853853108], [2.3576624688576153, 48.87571603350194], [2.3576046034687477, 48.87553916730126], [2.3575719891477216, 48.875543020398716], [2.3575760504195533, 48.875543713997494], [2.3576288525738427, 48.87571853853108]]], ""type"": ""Polygon""}";48.87563107014458, 2.3576185481744227
CP002113;423774;75007;12;3;SAS 40 rue des Sts Pères;REHABILITATION_IMMEUBLE;;40 rue des Sts-Pères;juste avant le bd St Germain;2021-07-12;2025-05-15;RESTREINTE;Maintien d'une file de circulation.;2;4;;"{""coordinates"": [[[2.3305087410876553, 48.854703841223184], [2.330597271667162, 48.85489583072162], [2.33065580837902, 48.85488368952832], [2.3305742479978915, 48.85468380316091], [2.3305087410876553, 48.854703841223184]]], ""type"": ""Polygon""}";48.85478929337244, 2.3305830937444014
CP002476;810335;75016;13;1;RIVP;CONSTRUCTION_IMMEUBLE;Démolition et construction d'un immeuble;Rue du Docteur Blanche;Entre la rue Henri Heine et la rue l'Yvette;2023-03-27;2026-07-06;SENS_UNIQUE;Mise à sens unique de la rue du Docteur Blanche de la rue Henri Heine à la rue l'Yvette;2;2;;"{""coordinates"": [[[2.2648918367875766, 48.85302756673262], [2.2647940376200824, 48.85304038613571], [2.265029036597828, 48.853393454553206], [2.2650001497441274, 48.853422802281955], [2.2653026287123583, 48.85389438693988], [2.2654659198395364, 48.85385244312589], [2.265366586732197, 48.853685415332926], [2.2653098739999864, 48.85366896224454], [2.2648918367875766, 48.85302756673262]]], ""type"": ""Polygon""}";48.85351124901634, 2.265144855721094
CP002678;;75001;11;2;FRAICHEUR DE PARIS;ENTRETIEN_RESEAU;;rue Richelieu-rue Montpensier-place André Malraux;;2024-11-04;2024-12-20;RESTREINTE;maintient du contre sens cyclable entre la rue Richelieu et le Bld de l'Opera. Réduction de voirie rue Richelieu et rue de Montpensier.;1;1;;"{""coordinates"": [[[[2.335838400266877, 48.86388357146064], [2.3358979528745145, 48.86386888733898], [2.3357691653326147, 48.86364755293337], [2.33567517599786, 48.863677240310174], [2.335743676542661, 48.86381121402028], [2.335622360074301, 48.86390922504451], [2.33530001201233, 48.863893336992525], [2.3352852202050616, 48.86393621933415], [2.3353648173223984, 48.8639977522291], [2.335838400266877, 48.86388357146064]]], [[[2.335901987933342, 48.86387582120979], [2.3359710664864877, 48.864092417348665], [2.3360011624313906, 48.86404626258055], [2.335901987933342, 48.86387582120979]]], [[[2.3358979528745145, 48.86386888733898], [2.335901987933342, 48.86387582120979], [2.3358996430100882, 48.86386847042717], [2.3358979528745145, 48.86386888733898]]]], ""type"": ""MultiPolygon""}";48.86386594301921, 2.335663097818159
CP002699;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Réduction de la voirie par GBA et K8 pour la gestion des flux VL PL de la base vie au 79 et report d;81 - 83 Boulevard de Strasbourg;en face du terminus pour la gestion des VL PL;2024-11-17;2025-11-14;RESTREINTE;;2;1;;"{""coordinates"": [[[2.357801294574197, 48.8756825415542], [2.357771889654093, 48.87559108509271], [2.3577739664994275, 48.875587739915886], [2.357703615375249, 48.875598103224895], [2.357714329620317, 48.87563709653034], [2.357801294574197, 48.8756825415542]]], ""type"": ""Polygon""}";48.875627858833006, 2.357752906252346
CP000139;;75013;14;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01;2024-12-20;RESTREINTE;Réduction de la circulation selon les phases;2;4;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv opé SEG11 BEC Bruneseau - 13ème.pdf;"{""coordinates"": [[[2.386040410939928, 48.82726045950963], [2.389009733862189, 48.82510049591564], [2.381913601308459, 48.82268480304111], [2.3797250134650096, 48.824789551026136], [2.382560534273686, 48.82574947645586], [2.386040410939928, 48.82726045950963]]], ""type"": ""Polygon""}";48.824945580960076, 2.384284439827768
CP001672;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;rue Saint Honoré;n°151;2020-07-06;2024-10-30;RESTREINTE;neutralisation du couloir de bus;2;2;;"{""coordinates"": [[[2.338827449847321, 48.86221882650664], [2.3388487248801635, 48.86224749833803], [2.3388935462438627, 48.86226797228003], [2.3392047843317134, 48.862182838487904], [2.339221466062564, 48.86214723727751], [2.339182099612276, 48.862123224964584], [2.338827449847321, 48.86221882650664]]], ""type"": ""Polygon""}";48.86219684259486, 2.3390296759890603
